timestamp,pubkey,score,latency,sync_diff,success_rate
2026-04-05 01:03:05,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.72,121,1,100.0
2026-04-05 01:02:54,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.35,136,0,100.0
2026-04-05 01:02:37,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.08,147,1,100.0
2026-04-05 00:56:56,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.75,120,0,100.0
2026-04-05 00:56:44,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,89.97,151,1,100.0
2026-04-05 00:56:28,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.47,131,1,100.0
2026-04-05 00:56:16,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.42,133,0,100.0
2026-04-05 00:56:00,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.75,120,0,100.0
2026-04-05 00:55:46,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.1,146,0,100.0
2026-04-05 00:55:32,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.42,133,0,100.0
2026-04-05 00:55:20,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.67,123,0,100.0
2026-04-05 00:55:07,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,91.03,109,1,100.0
2026-04-05 00:54:52,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.88,115,0,100.0
2026-04-05 00:54:40,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.9,114,0,100.0
2026-04-05 00:54:27,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.03,149,1,100.0
2026-04-05 00:54:16,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.58,127,0,100.0
2026-04-05 00:54:01,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.2,142,0,100.0
2026-04-05 00:53:50,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.1,146,0,100.0
2026-04-05 00:53:38,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,91.17,103,0,100.0
2026-04-03 13:31:53,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.97,111,0,100.0
2026-04-03 13:31:42,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.88,115,0,100.0
2026-04-03 13:31:30,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.62,125,0,100.0
2026-04-03 13:31:19,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,91.12,105,0,100.0
2026-04-03 13:31:08,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.88,115,0,100.0
2026-04-03 13:30:57,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,91.2,102,0,100.0
2026-04-03 13:30:03,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.58,127,0,100.0
2026-04-03 13:27:42,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,90.97,111,0,100.0
2026-04-03 13:27:25,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,91.22,101,0,100.0
2026-04-03 13:27:14,8KfPgKfeTp1Pyw1utAoek5bTDqMCt6a3oWrYKn2bETZb,91.2,102,0,100.0
