timestamp,pubkey,score,latency,sync_diff,success_rate
2026-04-01 14:54:06,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,90.72,121,0,100.0
2026-04-01 14:53:54,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,90.72,121,1,100.0
2026-04-01 14:53:43,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,90.5,130,0,100.0
2026-04-01 14:53:32,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,90.2,142,1,100.0
2026-04-01 14:53:21,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,90.88,115,1,100.0
2026-04-01 14:53:10,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,90.2,142,1,100.0
2026-04-01 14:52:59,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,91.15,104,0,100.0
2026-04-01 14:52:48,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,90.05,148,0,100.0
2026-04-01 14:52:38,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,90.38,135,1,100.0
2026-04-01 14:52:26,FwR3PbjS5iyqzLiLugrBqKSa5EKZ4vK9SKs7eQXtT59f,90.22,141,0,100.0
2026-04-01 14:54:06,2u83Dx5qPV4QnujjJQv8v2SoqG1ixuAxPK5Jwhtkovd1,90.97,111,0,100.0
2026-04-01 14:53:54,2u83Dx5qPV4QnujjJQv8v2SoqG1ixuAxPK5Jwhtkovd1,91.17,103,1,100.0
2026-04-01 14:53:43,2u83Dx5qPV4QnujjJQv8v2SoqG1ixuAxPK5Jwhtkovd1,90.22,141,0,100.0
2026-04-01 14:53:32,2u83Dx5qPV4QnujjJQv8v2SoqG1ixuAxPK5Jwhtkovd1,91.1,106,1,100.0
2026-04-01 14:53:21,2u83Dx5qPV4QnujjJQv8v2SoqG1ixuAxPK5Jwhtkovd1,90.42,133,1,100.0
2026-04-01 14:53:10,2u83Dx5qPV4QnujjJQv8v2SoqG1ixuAxPK5Jwhtkovd1,90.1,146,1,100.0
2026-04-01 14:52:59,2u83Dx5qPV4QnujjJQv8v2SoqG1ixuAxPK5Jwhtkovd1,91.0,110,0,100.0
